Location,Tag_ID,Sex,Direction,movement,Presence,month,SST,SST_anomaly,cur_GSLA,anomaly_GSLA,cur_VCUR,anomaly_VCUR,lunar.illumination
Coffs Harbour,5762,F,South,Arrival,1,8,19.089855194091797,-0.3750467781497022,0.08957318961620331,0.15148046846844743,-0.15244227647781372,-0.0905349976255696,0.18486376626005546
Coffs Harbour,5762,F,South,Arrival,0,10,19.982675552368164,-0.4673995625936733,0.12604336440563202,0.19274955051600612,-0.19196435809135437,-0.12525817198098027,0.014043565559622717
Coffs Harbour,5762,F,South,Arrival,0,1,23.831008911132813,0.2078116585226617,0.01831138506531715,0.12931990637994742,-0.22843453288078308,-0.1174260115661528,0.16184928856426706
Montague Island,5763,F,South,Arrival,1,10,NA,NA,NA,NA,NA,NA,0.39768189797931286
Montague Island,5763,F,South,Arrival,0,8,NA,NA,NA,NA,NA,NA,0.6024828618639888
Montague Island,5763,F,South,Arrival,0,2,NA,NA,NA,NA,NA,NA,0.39219494880157973
Flat Rock,57801,M,North,Arrival,1,11,23.092126846313477,-0.23323601787302903,-0.06958326697349548,0.03935760594010727,-0.5131765604019165,-0.40423568748831373,0.3388152373055865
Flat Rock,57801,M,North,Arrival,0,7,21.81471148404208,0.7548092284142385,0.1274167150259018,0.17513968119669054,0.2006622552871704,0.24838522145795916,0.4395430744161628
Flat Rock,57801,M,North,Arrival,0,8,20.046206734397195,-0.8529507251600918,0.02761967293918132,0.10011715560064505,-0.07217737287282944,3.2010978863429573e-4,0.19358356990171782
Flat Rock,63014,M,South,Arrival,1,11,23.09311866760254,-0.23224419658396656,-0.01907435990869999,0.08986651300490277,-0.37751972675323486,-0.2685788538396321,0.08853822766627079
Flat Rock,63014,M,South,Arrival,0,10,23.29986502907493,1.1586413215830191,0.04913555085659027,0.15291751855583763,-0.21424320340156555,-0.1104612357023182,0.07971931223531264
Flat Rock,63014,M,South,Arrival,0,1,26.286107381184895,0.28398317579259214,0.1474066525697708,0.26234236590970283,-0.2214151620864868,-0.1064794487465548,0.7209698066441357
Montague Island,63014,M,South,Arrival,1,12,NA,NA,NA,NA,NA,NA,0.07622933645913349
Montague Island,63014,M,South,Arrival,0,7,NA,NA,NA,NA,NA,NA,0.08691228756300606
Montague Island,63014,M,South,Arrival,0,4,NA,NA,NA,NA,NA,NA,0.10656768329526822
Flat Rock,63015,M,North,Arrival,1,11,23.09311866760254,-0.23224419658396656,-0.01907435990869999,0.08986651300490277,-0.37751972675323486,-0.2685788538396321,0.08853822766627079
Flat Rock,63015,M,North,Arrival,0,9,19.528319098732688,-1.489065476758288,0.1744159460067749,0.25342345857542264,-0.12024476379156113,-0.0412372512229134,0.6436037747777325
Flat Rock,63015,M,North,Arrival,0,4,24.159121894836424,-0.9856737556055748,0.2009674459695816,0.23864497093464992,-0.14969557523727417,-0.11201805027220586,0.9953795747543561
Coffs Harbour,63016,M,South,Arrival,1,11,20.79868480137416,0.14555342476153044,-0.06180092319846153,0.05513885003288812,-0.25086596608161926,-0.1339261928502696,0.007964083615700335
Coffs Harbour,63016,M,South,Arrival,0,4,23.48828935623169,-0.04509875660851037,0.15671493113040924,0.2212550107380281,-0.41017502546310425,-0.3456349458554854,0.979195493577629
Coffs Harbour,63016,M,South,Arrival,0,1,23.335509936014812,0.5862624225095168,0.03326568379998207,0.14427420511461236,-0.3973570466041565,-0.2863485252895262,0.410216449986098
Coffs Harbour,11129,F,South,Arrival,1,7,20.586278915405273,0.551454947544979,0.0288404319435358,0.07193826649379884,0.06058016419410705,0.10367799874437009,0.5465784187131961
Coffs Harbour,11129,F,South,Arrival,0,1,23.390554428100582,-0.0756320392384282,-0.012817969545722,0.09819055176890829,-0.4783849418163299,-0.3673764205016996,0.42106821893207336
Coffs Harbour,11129,F,South,Arrival,0,4,22.46374893188477,-1.3511298051694496,0.1846397966146469,0.24917987622226576,6.103795021772385e-4,0.06515045910979612,0.23620936027088485
Hawks Nest,11133,F,South,Arrival,1,8,18.39266185760498,0.07613638317100424,0.06698915362358093,0.11457667873811817,-0.1371827870607376,-0.08959526194620038,0.19944472093516813
Hawks Nest,11133,F,South,Arrival,0,6,21.137549082438152,1.351520541733375,0.24094730615615845,0.2007220638558419,-0.04074283316731453,-0.08096807546763107,0.48483362595262103
Hawks Nest,11133,F,South,Arrival,0,2,21.10896364847819,-0.9269773908049784,0.07126180827617645,0.15693475384285552,-0.4425251483917236,-0.3568522028250445,0.5831788343590651
Moreton Island,6388,M,North,Arrival,1,10,22.43035316467285,0.30331960257446866,-0.02263439878821634,0.08154385927442796,-0.5236735725402599,-0.4194953144776156,0.15317578824496453
